2 0 2 ..FGBB..FGH..AAGH......ICCCDDI..EE..
3 1 2 ..F.BB..FGH..AAGH....G.ICCCDDI..EE.. G99
3 1 2 ..FGBB..FGH.AA.GH......ICCCDDI..EE.. A99
3 1 2 ..FGBB..FGH..AAGH......ICCCDDI...EE. E99
3 1 2 ..FGBB..FGH..AAGH.......CCCDDI..EE.I I99
3 1 2 ..FGBB..FG...AAGH.....HICCCDDI..EE.. H99
3 1 2 ..FGBB..FGH..AAGH......ICCCDDIEE.... E98
3 1 2 ..FGBB..FGH..AAGH......ICCCDDI....EE E98
3 1 2 ..FGBB..FGH..AAGH......ICCCDDI.EE... E99
4 1 3 ..FGBB..FGHI.AAGHI......CCCDD...EE.. I98
4 1 3 ..FGBB..FGH..AAGHI.....ICCCDD...EE.. I99
4 2 2 ..F.BB..FGH..AAGH....G..CCCDDI..EE.I G99 I99
4 2 2 ..FGBB..FGH..AAGH.......CCCDDI...EEI I99 E99
4 2 2 ..FGBB..FG...AAGH.....H.CCCDDI..EE.I H99 I99
4 2 2 ..FGBB..FGH.AA.GH......ICCCDDIEE.... A99 E98
4 2 2 ..FGBB..FG...AAGH.....HICCCDDI...EE. H99 E99
4 2 2 ..F.BB..FGH.AA.GH....G.ICCCDDI..EE.. G99 A99
4 2 2 ..FGBB..FGH.AA.GH......ICCCDDI....EE A99 E98
4 2 2 ..FGBB..FGH.AA.GH......ICCCDDI.EE... A99 E99
4 2 2 ..F.BB..FGH..AAGH....G.ICCCDDIEE.... G99 E98
4 2 2 ..FGBB..FGH.AA.GH......ICCCDDI...EE. A99 E99
4 2 2 ..FGBB..FGH.AA.GH.......CCCDDI..EE.I A99 I99
4 2 2 ..F.BB..FG...AAGH....GHICCCDDI..EE.. G99 H99
4 2 2 ..FBB...FGH..AAGH....G.ICCCDDI..EE.. G99 B99
4 2 2 ..FGBB..FG..AA.GH.....HICCCDDI..EE.. H99 A99
4 2 2 ..F.BB..FGH..AAGH....G.ICCCDDI.EE... G99 E99
4 2 2 ..FGBB..FGH..AAGH.......CCCDDIEE...I I99 E98
4 2 2 ..FGBB..FG...AAGH.....HICCCDDI.EE... H99 E99
4 2 2 ..F.BB..FGH..AAGH....G.ICCCDDI....EE G99 E98
4 2 2 ..FGBB..FG...AAGH.....HICCCDDI....EE H99 E98
4 2 2 ..FGBB..FG...AAGH.....HICCCDDIEE.... H99 E98
4 2 2 ..F.BB..FGH..AAGH....G.ICCCDDI...EE. G99 E99
4 2 2 ..FGBB..FGH..AAGH.......CCCDDI.EE..I I99 E99
5 2 3 ..FGBB..FGHI.AAGHI......CCCDD.....EE I98 E98
5 2 3 ..FGBB..FGHI.AAGHI......CCC.DD..EE.. I98 D99
5 2 3 ..FGBB..FGHI.AAGHI......CCCDD....EE. I98 E99
5 2 3 ..FGBB..FGH..AAGHI.....ICCCDD....EE. I99 E99
5 2 3 ..FGBB..FGH..AAGHI.....ICCC.DD..EE.. I99 D99
5 2 3 ..F.BB..FGH..AAGHI...G.ICCCDD...EE.. G99 I99
5 2 3 ..FGBB..FGHIAA.GHI......CCCDD...EE.. A99 I98
5 2 3 ..F.BB..FGHI.AAGHI...G..CCCDD...EE.. G99 I98
5 2 3 ..FGBB..FGH.AA.GHI.....ICCCDD...EE.. A99 I99
5 2 3 ..FGBB..FGHI.AAGHI......CCCDD..EE... I98 E99
5 2 3 ...GBB...GH.AAFGH...F..ICCCDDI..EE.. F98 A99
5 2 3 ...GBB..FGH.AAFGH......ICCCDDI..EE.. F99 A99
5 2 3 ..FGBB..FGH..AAGHI.....ICCCDD..EE... I99 E99
5 2 3 ..FGBB..FGH..AAGHI.....ICCCDD.....EE I99 E98
5 2 3 ..FGBB..FGH..AAGHI.....ICCCDD.EE.... I99 E98
5 2 3 ..FGBB..FGHI.AAGHI......CCCDD.EE.... I98 E98
5 2 3 ..FGBB..FG.I.AAGHI....H.CCCDD...EE.. H99 I98
5 2 3 ..FGBB..FG...AAGHI....HICCCDD...EE.. H99 I99
9 6 3 ..FGBB..FG.IAA.GHI....H..CCCDDEE.... H99 A99 I98 C99 D99 E98
9 6 3 ..F.BB..FG..AA.GHI...GHICCC.DD...EE. G99 H99 A99 I99 D99 E99
9 6 3 .BB......G..AAFGH...FGHICCCDDI...EE. F98 G99 B97 H99 A99 E99
9 6 3 ..BB.....G..AAFGH...FGHICCCDDI...EE. F98 G99 B98 H99 A99 E99
9 6 3 ..FGBB..FG.IAA.GHI....H..CCCDD....EE H99 A99 I98 C99 D99 E98
9 6 3 ..FBB...FGH.AA.GHI...G.ICCC.DDEE.... G99 B99 A99 I99 D99 E98
9 6 3 ..FBB...FGH..AAGHI...G.I.CCCDDEE.... G99 B99 I99 C99 D99 E98
9 6 3 ..FBB...FG...AAGHI...GHICCC.DDEE.... G99 B99 H99 I99 D99 E98
9 6 3 ..FGBB..FG.IAA.GHI....H..CCCDD.EE... H99 A99 I98 C99 D99 E99
9 6 3 ..FBB...FGH.AA.GHI...G.ICCC.DD...EE. G99 B99 A99 I99 D99 E99
9 6 3 BB.......GH.AAFGH...FG..CCCDDIEE...I F98 G99 B96 A99 I99 E98
9 6 3 ..FGBB..FG.IAA.GHI....H..CCCDD...EE. H99 A99 I98 C99 D99 E99
9 6 3 ..FBB...FG...AAGHI...GHICCC.DD....EE G99 B99 H99 I99 D99 E98
9 6 3 ..F.BB..FG.IAA.GHI...GH..CCCDD..EE.. G99 H99 A99 I98 C99 D99
9 6 3 ..F.BB..F..IAA.GHI...GH.CCCGDD....EE G98 H99 A99 I98 D99 E98
9 6 3 ..FBB...FG...AAGHI...GHICCC.DD.EE... G99 B99 H99 I99 D99 E99
9 6 3 ..F.BB..FG.IAA.GHI...GH.CCC.DD....EE G99 H99 A99 I98 D99 E98
9 6 3 ..F.BB..FG..AA.GHI...GHICCC.DDEE.... G99 H99 A99 I99 D99 E98
9 6 3 BB......FG..AAFGH....GHICCCDDIEE.... F99 G99 B96 H99 A99 E98
9 6 3 ..FGBB..FG..AA.GHI....HI.CCCDDEE.... H99 A99 I99 C99 D99 E98
9 6 3 ..F.BB..FGHIAA.GHI...G...CCCDD...EE. G99 A99 I98 C99 D99 E99
9 6 3 ..FBB...FG..AA.GHI...GHICCC.DD..EE.. G99 B99 H99 A99 I99 D99
9 6 3 BB..H....GHIAAFG.I..FG..CCCDD...EE.. F98 G99 B96 H99 A99 I98
9 6 3 BB..H....GH.AAFG.I..FG.ICCCDD...EE.. F98 G99 B96 H99 A99 I99
9 6 3 BB......FG..AAFGH....GH.CCCDDI..EE.I F99 G99 B96 H99 A99 I99
9 6 3 BB......FGH.AAFGH....G..CCCDDIEE...I F99 G99 B96 A99 I99 E98
9 6 3 ..FBB...FG.IAA.GHI...GH.CCC.DD..EE.. G99 B99 H99 A99 I98 D99
9 6 3 ..F.BB..FGHIAA.GHI...G...CCCDD....EE G99 A99 I98 C99 D99 E98
9 6 3 ..FBB...FGHIAA.GHI...G..CCC.DD.EE... G99 B99 A99 I98 D99 E99
9 6 3 ..FBB...FGHI.AAGHI...G...CCCDD...EE. G99 B99 I98 C99 D99 E99
9 6 3 ..FBB...FGHIAA.GHI...G..CCC.DDEE.... G99 B99 A99 I98 D99 E98
9 6 3 ....BB....HIAAF.HI..FG..CCCGDD...GEE F98 G97 A99 I98 D99 E98
9 6 3 ..F.BB..FGH.AA.GHI...G.I.CCCDD...EE. G99 A99 I99 C99 D99 E99
9 6 3 ....BB..F.HIAAF.HI...G..CCCGDD...GEE F99 G97 A99 I98 D99 E98
9 6 3 ..FGBB..FG..AA.GHI....HI.CCCDD...EE. H99 A99 I99 C99 D99 E99
9 6 3 BB......FG..AAFGH....GHICCCDDI.EE... F99 G99 B96 H99 A99 E99
9 6 3 .BB.H...FGHIAAFG.I...G..CCCDD...EE.. F99 G99 B97 H99 A99 I98
9 6 3 .BB.H...FGH.AAFG.I...G.ICCCDD...EE.. F99 G99 B97 H99 A99 I99
9 6 3 ..F.BB..F..IAA.GHI...GH.CCCGDD...EE. G98 H99 A99 I98 D99 E99
9 6 3 ..F.BB..FG..AA.GHI...GHICCC.DD....EE G99 H99 A99 I99 D99 E98
9 6 3 ....BB....HIAAF.HI..FG..CCCGDDEE.G.. F98 G97 A99 I98 D99 E98
9 6 3 ....BB..F.HIAAF.HI...G..CCCGDDEE.G.. F99 G97 A99 I98 D99 E98
9 6 3 BB.......G..AAFGH...FGHICCCDDI.EE... F98 G99 B96 H99 A99 E99
9 6 3 ..F.BB..FG.IAA.GHI...GH.CCC.DD.EE... G99 H99 A99 I98 D99 E99
9 6 3 ..F.BB..FG..AA.GHI...GHICCC.DD.EE... G99 H99 A99 I99 D99 E99
9 6 3 ....BB...G..AAFGH...FGH.CCCDDIEE...I F98 G99 H99 A99 I99 E98
9 6 3 ...BB....GH.AAFGH...FG..CCCDDIEE...I F98 G99 B99 A99 I99 E98
9 6 3 BB..H...FGHIAAFG.I...G..CCCDD...EE.. F99 G99 B96 H99 A99 I98
9 6 3 BB..H...FGH.AAFG.I...G.ICCCDD...EE.. F99 G99 B96 H99 A99 I99
9 6 3 ..F.BB..FGHIAA.GHI...G...CCCDD.EE... G99 A99 I98 C99 D99 E99
9 6 3 ..BB....FGH.AAFGH....G..CCCDDI.EE..I F99 G99 B98 A99 I99 E99
9 6 3 .BB......G..AAFGH...FGH.CCCDDI..EE.I F98 G99 B97 H99 A99 I99
9 6 3 .BB......GH.AAFGH...FG..CCCDDIEE...I F98 G99 B97 A99 I99 E98
9 6 3 ....BB...G..AAFGH...FGH.CCCDDI.EE..I F98 G99 H99 A99 I99 E99
9 6 3 .BB.....FG..AAFGH....GHICCCDDI.EE... F99 G99 B97 H99 A99 E99
9 6 3 ..F.BB..FGH.AA.GHI...G.I.CCCDDEE.... G99 A99 I99 C99 D99 E98
9 6 3 ..BBH...FGHIAAFG.I...G..CCCDD...EE.. F99 G99 B98 H99 A99 I98
9 6 3 ..BBH...FGH.AAFG.I...G.ICCCDD...EE.. F99 G99 B98 H99 A99 I99
9 6 3 ..BB.I...GHIAAFGH...FG..CCCDD.EE.... F98 G99 B98 A99 I97 E98
9 6 3 .BB.H....GHIAAFG.I..FG..CCCDD...EE.. F98 G99 B97 H99 A99 I98
9 6 3 .BB.H....GH.AAFG.I..FG.ICCCDD...EE.. F98 G99 B97 H99 A99 I99
9 6 3 ..BB.....GH.AAFGH...FG..CCCDDIEE...I F98 G99 B98 A99 I99 E98
9 6 3 .BB..I...G.IAAFGH...FGH.CCCDD...EE.. F98 G99 B97 H99 A99 I97
9 6 3 ...BB....GH.AAFGH...FG..CCCDDI...EEI F98 G99 B99 A99 I99 E99
9 6 3 ...BB...FG..AAFGH....GH.CCCDDI..EE.I F99 G99 B99 H99 A99 I99
9 6 3 ..BBH....GHIAAFG.I..FG..CCCDD...EE.. F98 G99 B98 H99 A99 I98
9 6 3 ..BBH....GH.AAFG.I..FG.ICCCDD...EE.. F98 G99 B98 H99 A99 I99
9 6 3 ..F.BB..F...AA.GHI...GHICCCGDD...EE. G98 H99 A99 I99 D99 E99
9 6 3 ....BB....H.AAF.HI..FG.ICCCGDD...GEE F98 G97 A99 I99 D99 E98
9 6 3 ....BB..F.H.AAF.HI...G.ICCCGDD...GEE F99 G97 A99 I99 D99 E98
9 6 3 ..FBB...FGH.AA.GHI...G.ICCC.DD....EE G99 B99 A99 I99 D99 E98
9 6 3 BB.......G..AAFGH...FGH.CCCDDI..EE.I F98 G99 B96 H99 A99 I99
9 6 3 ....BB....H.AAF.HI..FG.ICCCGDD.EEG.. F98 G97 A99 I99 D99 E99
9 6 3 ....BB..F.H.AAF.HI...G.ICCCGDD.EEG.. F99 G97 A99 I99 D99 E99
9 6 3 ..FBB...F.HIAA.GHI...G..CCCGDDEE.... G98 B99 A99 I98 D99 E98
9 6 3 ..FBB...FG..AA.GHI...GHICCCDD..EE... G99 B99 H99 A99 I99 E99
9 6 3 ...BB....G..AAFGH...FGHICCCDDI.EE... F98 G99 B99 H99 A99 E99
9 6 3 ..FBB...F..I.AAGHI...GH.CCCGDDEE.... G98 B99 H99 I98 D99 E98
9 6 3 ...BB...FG..AAFGH....GHICCCDDI.EE... F99 G99 B99 H99 A99 E99
9 6 3 ...BBI..FGHIAAFGH....G..CCCDD..EE... F99 G99 B99 A99 I97 E99
9 6 3 ..FBB...FGH.AA.GHI...G.ICCC.DD.EE... G99 B99 A99 I99 D99 E99
9 6 3 ..FBB...FG..AA.GHI...GHICCCDD.EE.... G99 B99 H99 A99 I99 E98
9 6 3 ...BB....G..AAFGH...FGHICCCDDIEE.... F98 G99 B99 H99 A99 E98
9 6 3 ...BB...FG..AAFGH....GHICCCDDIEE.... F99 G99 B99 H99 A99 E98
9 6 3 ..FBB...FG..AA.GHI...GHICCCDD.....EE G99 B99 H99 A99 I99 E98
9 6 3 ...BB....G..AAFGH...FGHICCCDDI....EE F98 G99 B99 H99 A99 E98
9 6 3 ...BB...FG..AAFGH....GHICCCDDI....EE F99 G99 B99 H99 A99 E98
9 6 3 .BB..I..FGHIAAFGH....G..CCCDD.EE.... F99 G99 B97 A99 I97 E98
9 6 3 ....BB..FG..AAFGH....GH.CCCDDI.EE..I F99 G99 H99 A99 I99 E99
9 6 3 ...BB...FGH.AAFGH....G..CCCDDI...EEI F99 G99 B99 A99 I99 E99
9 6 3 BB.......GH.AAFGH...FG..CCCDDI...EEI F98 G99 B96 A99 I99 E99
9 6 3 ...BBI...G.IAAFGH...FGH.CCCDD...EE.. F98 G99 B99 H99 A99 I97
9 6 3 ...BBI..FG.IAAFGH....GH.CCCDD...EE.. F99 G99 B99 H99 A99 I97
9 6 3 BB...I..FGHIAAFGH....G..CCCDD.EE.... F99 G99 B96 A99 I97 E98
9 6 3 .BBG....FGH.AAFGH......ICCCDDIEE.... F99 G98 B97 A99 E98
9 6 3 ...BB....G..AAFGH...FGH.CCCDDI..EE.I F98 G99 B99 H99 A99 I99
9 6 3 ..F.BB..FG...AAGHI...GHI.CCCDD...EE. G99 H99 I99 C99 D99 E99
9 6 3 ..FBB...FG.I.AAGHI...GH.CCC.DD.EE... G99 B99 H99 I98 D99 E99
9 6 3 ...BBI...GHIAAFGH...FG..CCC.DD..EE.. F98 G99 B99 A99 I97 D99
9 6 3 ..FBB...FG.IAA.GHI...GH.CCCDD..EE... G99 B99 H99 A99 I98 E99
9 6 3 ...BBI..FGHIAAFGH....G..CCC.DD..EE.. F99 G99 B99 A99 I97 D99
9 6 3 ...BBI...GHIAAFGH...FG..CCCDD....EE. F98 G99 B99 A99 I97 E99
9 6 3 ...BBI...GHIAAFGH...FG..CCCDD..EE... F98 G99 B99 A99 I97 E99
9 6 3 ..F.BB..FG...AAGHI...GHI.CCCDDEE.... G99 H99 I99 C99 D99 E98
9 6 3 ...BBI..FGHIAAFGH....G..CCCDD....EE. F99 G99 B99 A99 I97 E99
9 6 3 ....BB..FG..AAFGH....GH.CCCDDI...EEI F99 G99 H99 A99 I99 E99
9 6 3 BB...I..FG.IAAFGH....GH.CCCDD...EE.. F99 G99 B96 H99 A99 I97
9 6 3 ...BBI...GHIAAFGH...FG..CCCDD.EE.... F98 G99 B99 A99 I97 E98
9 6 3 ..FBB...FG.IAA.GHI...GH.CCCDD.....EE G99 B99 H99 A99 I98 E98
9 6 3 ..F.BB..F..IAA.GHI...GH.CCCGDD.EE... G98 H99 A99 I98 D99 E99
9 6 3 ...BBI..FGHIAAFGH....G..CCCDD.EE.... F99 G99 B99 A99 I97 E98
9 6 3 ...BB....GH.AAFGH...FG..CCCDDI.EE..I F98 G99 B99 A99 I99 E99
9 6 3 ..BB....FGH.AAFGH....G..CCCDDI...EEI F99 G99 B98 A99 I99 E99
9 6 3 ...BB...FGH.AAFGH....G..CCCDDI.EE..I F99 G99 B99 A99 I99 E99
9 6 3 ..F.BB..F...AA.GHI...GHICCCGDDEE.... G98 H99 A99 I99 D99 E98
9 6 3 ..F.BB..F..IAA.GHI...GH.CCCGDDEE.... G98 H99 A99 I98 D99 E98
9 6 3 ...BBI...GHIAAFGH...FG..CCCDD.....EE F98 G99 B99 A99 I97 E98
9 6 3 ...BBI..FGHIAAFGH....G..CCCDD.....EE F99 G99 B99 A99 I97 E98
9 6 3 ....BB..FG..AAFGH....GH.CCCDDIEE...I F99 G99 H99 A99 I99 E98
9 6 3 ...BB...FGH.AAFGH....G..CCCDDIEE...I F99 G99 B99 A99 I99 E98
9 6 3 ..FBB...FGHI.AAGHI...G...CCCDD.EE... G99 B99 I98 C99 D99 E99
9 6 3 ..FBB...FG.IAA.GHI...GH.CCCDD.EE.... G99 B99 H99 A99 I98 E98
9 6 3 ..FBB...FG.IAA.GHI...GH.CCCDD....EE. G99 B99 H99 A99 I98 E99
9 6 3 ..FBB...FG..AA.GHI...GHICCCDD....EE. G99 B99 H99 A99 I99 E99
9 6 3 ...BB....G..AAFGH...FGHICCCDDI...EE. F98 G99 B99 H99 A99 E99
9 6 3 ....BB..F.HIAAF.HI...G..CCCGDD.EEG.. F99 G97 A99 I98 D99 E99
9 6 3 ...BB...FG..AAFGH....GHICCCDDI...EE. F99 G99 B99 H99 A99 E99
9 6 3 ..FBB...FG.I.AAGHI...GH.CCC.DD....EE G99 B99 H99 I98 D99 E98
9 6 3 ..FBB...F..I.AAGHI...GH.CCCGDD....EE G98 B99 H99 I98 D99 E98
9 6 3 ..BB.I..FGHIAAFGH....G..CCCDD.EE.... F99 G99 B98 A99 I97 E98
9 6 3 ..BB.I..FGHIAAFGH....G..CCCDD.....EE F99 G99 B98 A99 I97 E98
9 6 3 ..FGBB..FG..AA.GHI....HI.CCCDD.EE... H99 A99 I99 C99 D99 E99
9 6 3 ..FBB...F.HIAA.GHI...G..CCCGDD....EE G98 B99 A99 I98 D99 E98
9 6 3 BB.......GH.AAFGH...FG..CCCDDI.EE..I F98 G99 B96 A99 I99 E99
9 6 3 ..BB.I..FGHIAAFGH....G..CCC.DD..EE.. F99 G99 B98 A99 I97 D99
9 6 3 ..FBB...F..I.AAGHI...GH.CCCGDD.EE... G98 B99 H99 I98 D99 E99
9 6 3 ..F.BB..FG...AAGHI...GHI.CCCDD.EE... G99 H99 I99 C99 D99 E99
9 6 3 ..FBB...FGHI.AAGHI...G...CCCDDEE.... G99 B99 I98 C99 D99 E98
9 6 3 BB......FGH.AAFGH....G..CCCDDI.EE..I F99 G99 B96 A99 I99 E99
9 6 3 ..FBB...F..I.AAGHI...GH.CCCGDD...EE. G98 B99 H99 I98 D99 E99
9 6 3 ....BB...G..AAFGH...FGH.CCCDDI...EEI F98 G99 H99 A99 I99 E99
9 6 3 ..F.BB..FG...AAGHI...GHI.CCCDD....EE G99 H99 I99 C99 D99 E98
9 6 3 ..FBB...F..IAA.GHI...GH.CCCGDD..EE.. G98 B99 H99 A99 I98 D99
9 6 3 ..FBB...F....AAGHI...GHICCCGDDEE.... G98 B99 H99 I99 D99 E98
9 6 3 ..FBB...F.H.AA.GHI...G.ICCCGDD...EE. G98 B99 A99 I99 D99 E99
9 6 3 BB...I..FGHIAAFGH....G..CCCDD.....EE F99 G99 B96 A99 I97 E98
9 6 3 ..FBB...F....AAGHI...GHICCCGDD...EE. G98 B99 H99 I99 D99 E99
9 6 3 BB......FGH.AAFGH....G..CCCDDI...EEI F99 G99 B96 A99 I99 E99
9 6 3 BB.G.I..FGHIAAFGH.......CCCDD...EE.. F99 G98 B96 A99 I97
9 6 3 BB.G....FGH.AAFGH.......CCCDDI..EE.I F99 G98 B96 A99 I99
9 6 3 ..FGBB..FG..AA.GHI....HI.CCCDD....EE H99 A99 I99 C99 D99 E98
9 6 3 BB...I..FGHIAAFGH....G..CCC.DD..EE.. F99 G99 B96 A99 I97 D99
9 6 3 ..F.BB..FGH.AA.GHI...G.I.CCCDD....EE G99 A99 I99 C99 D99 E98
9 6 3 ....BB....HIAAF.HI..FG..CCCGDD.EEG.. F98 G97 A99 I98 D99 E99
9 6 3 ..BB.I...G.IAAFGH...FGH.CCCDD...EE.. F98 G99 B98 H99 A99 I97
9 6 3 ..F.BB..FG..AA.GHI...GHI.CCCDD..EE.. G99 H99 A99 I99 C99 D99
9 6 3 ..FBB...FGH..AAGHI...G.I.CCCDD....EE G99 B99 I99 C99 D99 E98
9 6 3 ..FBB...FG...AAGHI...GHI.CCCDD..EE.. G99 B99 H99 I99 C99 D99
9 6 3 .BB.....FGH.AAFGH....G..CCCDDI.EE..I F99 G99 B97 A99 I99 E99
9 6 3 .BB..I..FGHIAAFGH....G..CCC.DD..EE.. F99 G99 B97 A99 I97 D99
9 6 3 .BBG....FGH.AAFGH.......CCCDDI..EE.I F99 G98 B97 A99 I99
9 6 3 .BB..I..FGHIAAFGH....G..CCCDD....EE. F99 G99 B97 A99 I97 E99
9 6 3 .BB.....FGH.AAFGH....G..CCCDDI...EEI F99 G99 B97 A99 I99 E99
9 6 3 .BB..I..FGHIAAFGH....G..CCCDD.....EE F99 G99 B97 A99 I97 E98
9 6 3 ..FBB...F....AAGHI...GHICCCGDD.EE... G98 B99 H99 I99 D99 E99
9 6 3 .BB..I...GHIAAFGH...FG..CCCDD..EE... F98 G99 B97 A99 I97 E99
9 6 3 .BBG.I...GHIAAFGH...F...CCCDD...EE.. F98 G98 B97 A99 I97
9 6 3 ..F.BB..F...AA.GHI...GHICCCGDD....EE G98 H99 A99 I99 D99 E98
9 6 3 .BBG.....GH.AAFGH...F..ICCCDDI.EE... F98 G98 B97 A99 E99
9 6 3 ....BB..F.H.AAF.HI...G.ICCCGDDEE.G.. F99 G97 A99 I99 D99 E98
9 6 3 ..F.BB..FGH.AA.GHI...G.I.CCCDD.EE... G99 A99 I99 C99 D99 E99
9 6 3 .BBG.....GH.AAFGH...F..ICCCDDI....EE F98 G98 B97 A99 E98
9 6 3 BB...I...GHIAAFGH...FG..CCC.DD..EE.. F98 G99 B96 A99 I97 D99
9 6 3 BB.G.....G..AAFGH...F.HICCCDDI..EE.. F98 G98 B96 H99 A99
9 6 3 BB...I...GHIAAFGH...FG..CCCDD....EE. F98 G99 B96 A99 I97 E99
9 6 3 BB...I...G.IAAFGH...FGH.CCCDD...EE.. F98 G99 B96 H99 A99 I97
9 6 3 BB.G.I...GHIAAFGH...F...CCCDD...EE.. F98 G98 B96 A99 I97
9 6 3 BB...I...GHIAAFGH...FG..CCCDD.....EE F98 G99 B96 A99 I97 E98
9 6 3 BB.G.....GH.AAFGH...F..ICCCDDI...EE. F98 G98 B96 A99 E99
9 6 3 ....BB....H.AAF.HI..FG.ICCCGDDEE.G.. F98 G97 A99 I99 D99 E98
9 6 3 BB...I...GHIAAFGH...FG..CCCDD..EE... F98 G99 B96 A99 I97 E99
9 6 3 BB.G.....GH.AAFGH...F..ICCCDDI....EE F98 G98 B96 A99 E98
9 6 3 ..FBB...F.H.AA.GHI...G.ICCCGDD.EE... G98 B99 A99 I99 D99 E99
9 6 3 BB.G.....GH.AAFGH...F..ICCCDDI.EE... F98 G98 B96 A99 E99
9 6 3 ..F.BB..FG.I.AAGHI...GH..CCCDD....EE G99 H99 I98 C99 D99 E98
9 6 3 ..FBB...F....AAGHI...GHICCCGDD....EE G98 B99 H99 I99 D99 E98
9 6 3 ..BB.I...GHIAAFGH...FG..CCCDD.....EE F98 G99 B98 A99 I97 E98
9 6 3 .BBG.....GH.AAFGH...F..ICCCDDI...EE. F98 G98 B97 A99 E99
9 6 3 ..FBB...F...AA.GHI...GHICCCGDD..EE.. G98 B99 H99 A99 I99 D99
9 6 3 ..FBB...FGH..AAGHI...G.I.CCCDD...EE. G99 B99 I99 C99 D99 E99
9 6 3 ..FBB...FGH..AAGHI...G.I.CCCDD.EE... G99 B99 I99 C99 D99 E99
9 6 3 .BBG....FG..AAFGH.....HICCCDDI..EE.. F99 G98 B97 H99 A99
9 6 3 .BB..I..FG.IAAFGH....GH.CCCDD...EE.. F99 G99 B97 H99 A99 I97
9 6 3 ..F.BB..FG.I.AAGHI...GH..CCCDD.EE... G99 H99 I98 C99 D99 E99
9 6 3 .BBG.I..FGHIAAFGH.......CCCDD...EE.. F99 G98 B97 A99 I97
9 6 3 .BBG....FGH.AAFGH......ICCCDDI...EE. F99 G98 B97 A99 E99
9 6 3 .BBG....FGH.AAFGH......ICCCDDI....EE F99 G98 B97 A99 E98
9 6 3 ..FBB...FGH.AA.GHI...G.I.CCCDD..EE.. G99 B99 A99 I99 C99 D99
9 6 3 .BB..I..FGHIAAFGH....G..CCCDD..EE... F99 G99 B97 A99 I97 E99
9 6 3 .BBG....FGH.AAFGH......ICCCDDI.EE... F99 G98 B97 A99 E99
9 6 3 BB...I..FGHIAAFGH....G..CCCDD....EE. F99 G99 B96 A99 I97 E99
9 6 3 .BBG.....GH.AAFGH...F...CCCDDI..EE.I F98 G98 B97 A99 I99
9 6 3 BB.G....FGH.AAFGH......ICCCDDI...EE. F99 G98 B96 A99 E99
9 6 3 BB.G....FGH.AAFGH......ICCCDDI....EE F99 G98 B96 A99 E98
9 6 3 BB...I..FGHIAAFGH....G..CCCDD..EE... F99 G99 B96 A99 I97 E99
9 6 3 BB.G....FGH.AAFGH......ICCCDDI.EE... F99 G98 B96 A99 E99
9 6 3 ..BB.I...GHIAAFGH...FG..CCCDD..EE... F98 G99 B98 A99 I97 E99
9 6 3 ..F.BB..F...AA.GHI...GHICCCGDD.EE... G98 H99 A99 I99 D99 E99
9 6 3 ..FBB...FGHI.AAGHI...G...CCCDD....EE G99 B99 I98 C99 D99 E98
9 6 3 ..BB.I...GHIAAFGH...FG..CCC.DD..EE.. F98 G99 B98 A99 I97 D99
9 6 3 ..FBB...FG.I.AAGHI...GH..CCCDD..EE.. G99 B99 H99 I98 C99 D99
9 6 3 ..BB.I..FG.IAAFGH....GH.CCCDD...EE.. F99 G99 B98 H99 A99 I97
9 6 3 .BB......GH.AAFGH...FG..CCCDDI.EE..I F98 G99 B97 A99 I99 E99
9 6 3 ..BB.I...GHIAAFGH...FG..CCCDD....EE. F98 G99 B98 A99 I97 E99
9 6 3 ..BB.....GH.AAFGH...FG..CCCDDI.EE..I F98 G99 B98 A99 I99 E99
9 6 3 ..F.BB..FG.I.AAGHI...GH..CCCDD...EE. G99 H99 I98 C99 D99 E99
9 6 3 .BB..I...GHIAAFGH...FG..CCCDD....EE. F98 G99 B97 A99 I97 E99
9 6 3 ..BB.I..FGHIAAFGH....G..CCCDD..EE... F99 G99 B98 A99 I97 E99
9 6 3 ..FBB...F.H.AA.GHI...G.ICCCGDDEE.... G98 B99 A99 I99 D99 E98
9 6 3 BB.G.....GH.AAFGH...F...CCCDDI..EE.I F98 G98 B96 A99 I99
9 6 3 ..FBB...F.HIAA.GHI...G..CCCGDD.EE... G98 B99 A99 I98 D99 E99
9 6 3 ..BB.I..FGHIAAFGH....G..CCCDD....EE. F99 G99 B98 A99 I97 E99
9 6 3 BB.G....FG..AAFGH.....HICCCDDI..EE.. F99 G98 B96 H99 A99
9 6 3 ..FBB...FG...AAGHI...GHICCC.DD...EE. G99 B99 H99 I99 D99 E99
9 6 3 .BB......GH.AAFGH...FG..CCCDDI...EEI F98 G99 B97 A99 I99 E99
9 6 3 ..BB.....GH.AAFGH...FG..CCCDDI...EEI F98 G99 B98 A99 I99 E99
9 6 3 BB.G....FGH.AAFGH......ICCCDDIEE.... F99 G98 B96 A99 E98
9 6 3 .BB..I...GHIAAFGH...FG..CCCDD.....EE F98 G99 B97 A99 I97 E98
9 6 3 ..BB.....G..AAFGH...FGH.CCCDDI..EE.I F98 G99 B98 H99 A99 I99
9 6 3 .BBG.....G..AAFGH...F.HICCCDDI..EE.. F98 G98 B97 H99 A99
9 6 3 .BB..I...GHIAAFGH...FG..CCCDD.EE.... F98 G99 B97 A99 I97 E98
